DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 43878,492 ; 39,02325 ; 232,6135 ; 27,625559 ; 0,7079256 ; 0,05978959
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 72676,39 ; 37,303 ; 300,372 ; 28,888268 ; 0,77442205 ; 0,038171545
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 10389,586 ; 4,2335 ; 499,8685 ; 4,3304462 ; 1,0228997 ; 0,028141212
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 55328,953 ; 25,1095 ; 371,1725 ; 20,21778 ; 0,8051844 ; 0,03424381
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 4453,299 ; 1,363 ; 603,0792 ; 2,1148047 ; 1,5515808 ; 0,02017156
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 2713,347 ; 1,30225 ; 525,7073 ; 2,9313483 ; 2,2509873 ; 0,03677784
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 4982,639 ; 1,3505 ; 499,9665 ; 2,740695 ; 2,0293927 ; 0,027455533
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 4453,665 ; 1,35325 ; 603,71924 ; 2,61244 ; 1,9304934 ; 0,024902066
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 9409,775 ; 4,1685 ; 672,45374 ; 6,294255 ; 1,5099568 ; 0,03901161
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 22534,322 ; 6,24125 ; 521,907 ; 5,786313 ; 0,92710805 ; 0,020849029
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 5289,639 ; 1,4735 ; 489,475 ; 2,918593 ; 1,9807214 ; 0,028657516
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 19561,023 ; 5,71075 ; 522,4183 ; 5,7093096 ; 0,99974775 ; 0,02303515
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 19516,139 ; 6,95275 ; 575,7375 ; 9,7194 ; 1,3979217 ; 0,038456865
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 16221,617 ; 6,95825 ; 494,40176 ; 4,700256 ; 0,67549396 ; 0,022207016
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 157182,7 ; 64,42675 ; 32180,914 ; 15,520702 ; 0,24090463 ; 0,0032402854
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 36727,27 ; 28,201 ; 368,93375 ; 21,062014 ; 0,7468534 ; 0,052112278
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 4625,003 ; 1,29225 ; 487,36975 ; 2,790141 ; 2,1591341 ; 0,029373923
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 62232,195 ; 28,13475 ; 367,15726 ; 21,056778 ; 0,74842596 ; 0,031950794
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 52908,246 ; 7,3355 ; 2389,9263 ; 2,824109 ; 0,38499203 ; 0,0036768662
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 2839,7368 ; 1,335 ; 559,431 ; 1,7668923 ; 1,3235148 ; 0,020949518
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 64213,48 ; 40,458 ; 51087,78 ; 14,618126 ; 0,36131608 ; 0,0025418792
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 4971,36 ; 1,3075 ; 530,05975 ; 2,0879083 ; 1,5968705 ; 0,020326296
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 2746,2678 ; 1,35875 ; 503,1405 ; 2,1256685 ; 1,5644295 ; 0,027330393
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 163424,81 ; 61,7485 ; 31957,734 ; 14,639197 ; 0,23707777 ; 0,0030308762
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 3749,773 ; 1,28475 ; 513,179 ; 2,7187724 ; 2,116188 ; 0,030611418
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 131240,25 ; 49,796 ; 61194,29 ; 14,400528 ; 0,28919044 ; 0,0019376823
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 4332,969 ; 1,4565 ; 509,20126 ; 2,918593 ; 2,00384 ; 0,03096656
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 5608,793 ; 1,52025 ; 514,6615 ; 2,9388278 ; 1,9331214 ; 0,027324187
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 2719,7134 ; 1,3865 ; 493,61075 ; 3,0631547 ; 2,2092714 ; 0,04001079
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 3124,7039 ; 1,424 ; 528,55176 ; 2,7301672 ; 1,9172522 ; 0,03246249
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 5023,624 ; 1,408 ; 488,90225 ; 2,80814 ; 1,9944177 ; 0,028328862
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 5415,7344 ; 1,35125 ; 586,2515 ; 2,8180928 ; 2,085545 ; 0,02498697
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 87684,71 ; 47,2505 ; 50982,08 ; 13,895191 ; 0,294075 ; 0,0023255337
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 2478,1235 ; 1,26025 ; 492,3005 ; 2,8158517 ; 2,2343597 ; 0,03804625
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
