DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 105618,984 ; 17,2165 ; 1069,5062 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 40080,938 ; 2,10875 ; 1118,4652 ; 0,0 ; 0,0 ; 0,0
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 1932469,5 ; 135,22125 ; 594,28424 ; 13,655427 ; 0,1009858 ; 7,044645E-4
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 1617130,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,00125689
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 66004,89 ; 2,386 ; 1120,597 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 1299867,4 ; 128,7275 ; 635,14374 ; 13,189644 ; 0,10246175 ; 0,0010097576
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 1576670,5 ; 134,0395 ; 112936,56 ; 4,072482 ; 0,0303827 ; 1,5049623E-4
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 1617130,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,00125689
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 1333588,2 ; 135,4405 ; 633,2415 ; 12,143505 ; 0,08965933 ; 9,0628536E-4
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 22601,924 ; 3,17775 ; 964,316 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 733634,06 ; 110,9685 ; 97613,98 ; 3,533904 ; 0,031846013 ; 2,066884E-4
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 51607,477 ; 1,945 ; 1059,8597 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 27307,666 ; 1,67 ; 864,91 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 59645,332 ; 2,36925 ; 1540,7192 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 1379924,8 ; 135,48924 ; 594,22473 ; 13,655499 ; 0,1007866 ; 9,853399E-4
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 49295,605 ; 2,45425 ; 1129,3757 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 279547,38 ; 47,6735 ; 978,089 ; 1,5995904 ; 0,03355303 ; 5,528636E-4
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 70076,06 ; 2,67425 ; 1004,68024 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 1617130,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,00125689
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 749769,8 ; 33,1965 ; 34071,863 ; 0,13488193 ; 0,0040631373 ; 1,2368945E-5
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 1941480,6 ; 135,60425 ; 595,1775 ; 13,655445 ; 0,10070072 ; 7,0120255E-4
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 43300,555 ; 1,76975 ; 961,11273 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 9871,382 ; 1,596 ; 856,79425 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 1380343,6 ; 133,7135 ; 597,44727 ; 13,641901 ; 0,10202336 ; 9,840382E-4
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 2175364,5 ; 134,93225 ; 113692,91 ; 4,3750243 ; 0,032423858 ; 1,3208445E-4
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 11736,835 ; 1,708 ; 937,188 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 51204,97 ; 2,87875 ; 912,989 ; 0,0 ; 0,0 ; 0,0
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 65503,824 ; 2,73725 ; 886,3755 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 77898,66 ; 2,48 ; 1225,7708 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 669703,25 ; 111,468 ; 140585,44 ; 8,681912 ; 0,077887036 ; 4,18293E-4
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 51959,523 ; 1,78225 ; 1130,8588 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 1617130,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,00125689
