modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;100702,45;21,1385;536,815;421,59903;19,944605;0,3974702
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;5853,423;1,777;769,352;102,28042;57,55792;0,7550074
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;104047,22;23,45075;726,3602;690,5737;29,44783;0,62040126
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;8267,35;1,5275;785,39624;8,129748;5,3222575;0,050428577
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;234552,62;230,80675;0;998,5957;4,326545;0,42574483
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;234552,62;230,80675;0;1027,8796;4,453421;0,43822986
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3709,527;1,426;595,297;9,755714;6,8413143;0,10096473
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;234552,62;230,80675;0;1072,7053;4,647634;0,457341
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;129842,305;27,663;30200,688;465,89178;16,841694;0,107882984
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;7861,587;1,714;618,0875;8,129748;4,7431436;0,05789404
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;18619,697;3,7495;630,4177;33,278103;8,875344;0,13351898
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;65671,64;17,80225;1930,6658;333,34457;18,724857;0,39227024
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;234552,62;230,80675;0;517,9786;2,244209;0,22083683
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;119242;43,143;416,05176;409,1437;9,483432;0,33155218
