relevanceModel;memoryStrategy;engine;storing;retrieving;oblivion;comparisions;activeBeliefs;pages;utilitySum;cpuEfficiency;memEfficiency
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;428764,1;268,0315;0;24,337353;0,090800345;0,005676164
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;184729,06;72,57075;390,7635;21,261837;0,29298082;0,011271315
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;12679,36;1,85925;698,69275;0;0;0
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;19000,191;2,1145;690,31226;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;378536,12;73,0935;407,06824;20,860384;0,28539315;0,005452172
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;55685,63;9,61725;727,4475;1,3602822;0,1414419;0,002160546
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;272012,3;268,0315;0;24,337353;0,090800345;0,008947152
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;323434,1;268,0315;0;24,337353;0,090800345;0,007524672
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;32061,904;4,03275;798,37274;1,3225491;0,32795215;0,003302605
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;8199,943;2,09175;754,055;0,30877382;0,14761508;0,001961653
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;12523,887;1,76;713,39575;0,49961874;0,28387427;0,002541574
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;380552,9;73,52175;477,27625;29,074873;0,39545947;0,007545533
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;206112,69;73,51175;479,805;29,010433;0,3946367;0,013754839
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;302983,72;284,101;0;30,771498;0,10831182;0,010156156
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;353639,3;284,101;0;30,771498;0,10831182;0,008701379
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;452995,9;284,101;0;30,771498;0,10831182;0,006792886
