relevancia;persistencia;raciocinio;comparacoes;crencasAtivas;movimentacoes;utilidade;cpu;memoria
Customizado ; Persistente ; SOAR ;83652,875;180,7625;0;30,480045;0,1686193;0,03643634
Customizado ; Obliterante ; SOAR ;4656,375;1,27925;482,52475;1,4246917;1,1136929;0,01502582
Customizado ; Obliterante ; SOAR ;4276,998;1,25975;481,2855;0,010708873;0,008500792;1,18E-04
Customizado ; Persistente ; SOAR ;102811,21;189,70026;0;28,026619;0,1477416;0,027260276
Customizado ; Reminiscente ; SOAR ;62845,45;23,82575;428,392;23,057812;0,96776855;0,034348324
Customizado ; Reminiscente ; SOAR ;48881,375;14,413;485,76425;18,00713;1,2493672;0,033508487
Customizado ; Persistente ; SOAR ;99542,55;181,6075;0;25,518051;0,1405121;0,02563532
Customizado ; Obliterante ; SOAR ;4859,278;1,31125;502,647;0,5392835;0,41127437;0,005455161
Customizado ; Obliterante ; SOAR ;4585,299;1,2945;507,33176;0,06471788;0,049994502;6,70E-04
Customizado ; Persistente ; SOAR ;106013,05;187,98375;0;30,784645;0,16376227;0,029038545
Customizado ; Reminiscente ; SOAR ;67005,92;25,13875;408,3855;25,090244;0,9980705;0,035293747
Customizado ; Persistente ; SOAR ;104481,68;189,32076;0;33,970383;0,17943296;0,032513242
Customizado ; Obliterante ; SOAR ;5046,582;1,30525;515,98627;0,7300727;0,5593355;0,007153056
Customizado ; Reminiscente ; SOAR ;58296,004;20,75225;444,52124;26,807558;1,2917904;0,04272719
Customizado ; Obliterante ; SOAR ;4166,248;1,23275;463,447;3,0136647;2,444668;0,034243397
Customizado ; Reminiscente ; SOAR ;68766,04;27,401;414,20926;19,59666;0,7151805;0,026878566
Customizado ; Persistente ; SOAR ;102784,07;174,46225;0;24,841936;0,14239147;0,024169052
Customizado ; Persistente ; SOAR ;88915,07;176,33;0;31,44478;0,17832915;0,035364963
Customizado ; Reminiscente ; SOAR ;44184,32;15,8435;472,19626;24,342005;1,5364032;0,049772758
Customizado ; Obliterante ; SOAR ;4101,9326;1,241;444,23;2,1605406;1,7409674;0,025286539
Customizado ; Reminiscente ; SOAR ;82231,97;31,56225;399,9875;24,872587;0,7880486;0,028843855
Customizado ; Obliterante ; SOAR ;5064,717;1,32;537,053;1,8663328;1,4138885;0,017884893
Customizado ; Persistente ; SOAR ;106483,79;192,0595;0;29,128056;0,15166163;0,02735445
Customizado ; Persistente ; SOAR ;94150,21;183,01974;0;36,736916;0,20072651;0,039019473
Customizado ; Reminiscente ; SOAR ;51411,145;21,08925;400,0335;32,24628;1,5290387;0,058194224
Customizado ; Obliterante ; SOAR ;4587,567;1,2915;496,978;4,266989;3,303902;0,04464617
Customizado ; Reminiscente ; SOAR ;47487,742;14,00175;500,48276;18,330622;1,3091664;0,03492041
Customizado ; Persistente ; SOAR ;98300,305;183,61826;0;26,459322;0,14409962;0,026916826
Customizado ; Obliterante ; SOAR ;4701,7;1,2625;482,62326;1,9329104;1,5310181;0,020286778
Customizado ; Reminiscente ; SOAR ;59955,17;21,8115;450,66174;27,46779;1,259326;0,042610966
Customizado ; Obliterante ; SOAR ;4556,712;1,29925;477,48575;1,4141786;1,0884577;0,015154778
Customizado ; Persistente ; SOAR ;103054,336;183,341;0;31,792633;0,17340711;0,030850358
Customizado ; Obliterante ; SOAR ;4398,828;1,2815;502,75125;3,1069238;2,424443;0,03296002
Customizado ; Persistente ; SOAR ;101112,305;189,49875;0;30,2197;0,15947177;0,029887263
Customizado ; Reminiscente ; SOAR ;67859,016;26,91775;350,483;24,447084;0,9082143;0,03425696
Customizado ; Reminiscente ; SOAR ;69032,78;25,96025;429,9305;24,022644;0,9253625;0,03275871
Customizado ; Obliterante ; SOAR ;4408,545;1,2895;489,5445;2,7496052;2,1323035;0,029552966
Customizado ; Persistente ; SOAR ;103506,875;185,01675;0;30,164827;0,16303836;0,029142825
Customizado ; Obliterante ; SOAR ;4175,088;1,257;456,60724;0,7914875;0,6296639;0,00905472
Customizado ; Persistente ; SOAR ;99622,72;177,939;0;29,255753;0,16441451;0,029366547
Customizado ; Reminiscente ; SOAR ;64513,438;25,8985;409,588;22,231192;0,8583969;0,032402582
Customizado ; Reminiscente ; SOAR ;63201,16;24,36825;426,57776;24,958942;1,0242403;0,03699433
Customizado ; Obliterante ; SOAR ;4721,201;1,306;516,105;0,038087137;0,029163199;3,85E-04
Customizado ; Persistente ; SOAR ;117649,34;188,815;0;29,306608;0,15521334;0,024910133
Customizado ; Obliterante ; SOAR ;4571,768;1,31525;496,72226;3,5763807;2,7191641;0,037492234
Customizado ; Reminiscente ; SOAR ;72317,234;28,83775;360,209;21,689943;0,7521372;0,028569726
Customizado ; Persistente ; SOAR ;103843,92;181,4995;0;28,466879;0,15684274;0,027413141
Customizado ; Obliterante ; SOAR ;4782,049;1,288;509,39774;0,15124805;0,117428616;0,001531467
Customizado ; Persistente ; SOAR ;100219,63;190,2755;0;33,151684;0,17422992;0,03307903
Customizado ; Reminiscente ; SOAR ;51729,02;17,49875;419,766;26,272646;1,5014012;0,046976946
Customizado ; Obliterante ; SOAR ;4324,385;1,2455;465,77475;0,8641259;0,6937984;0,009620498
